OKG	-1.4666	15.0666	Okoyo	Okoyo	Congo	CG		-1.0	3280	1575
MKJ	-0.0333	15.6166	Makoua	Makoua	Congo	CG		-1.0	5971	1290
MUY	-3.9833	13.9194	Mouyondzi	Mouyondzi	Congo	CG		-1.0	2536	1670
ION	1.6166	18.0666	Impfondo	Impfondo	Congo	CG		-1.0	5905	1099
ANJ	-2.85	13.8333	Zanaga	Zanaga	Congo	CG		-1.0	4921	1870
LCO	-1.8	14.8666	Lague	Lague	Congo	CG		-1.0	4101	2756
BTB	3.05	18.5166	Betou	Betou	Congo	CG		-1.0	3280	1170
EPN	1.3666	17.4833	Epena	Epena	Congo	CG		-1.0	2296	1148
NKY	-2.9333	14.2666	Nkayi	Nkayi	Congo	CG		-1.0	5905	541
DJM	-2.5333	14.75	Djambala	Djambala	Congo	CG		-1.0	5741	2595
GMM	-1.9333	15.8666	Gamboma	Gamboma	Congo	CG		-1.0	5905	1509
SOE	2.0833	14.05	Souanke	Souanke	Congo	CG		-1.0	4593	1722
EWO	-0.8833	14.8	Ewo	Ewo	Congo	CG		-1.0	4265	1503
FTX	-0.9833	16.0083	Owando	Owando	Congo	CG		-1.0	5869	1214
BOE	-1.0333	15.3833	Boundji	Boundji	Congo	CG		-1.0	3346	1246
MSX	-2.95	12.7333	Mossendjo	Mossendjo	Congo	CG		-1.0	2559	1519
DIS	-4.2166	12.5	Loubomo	Loubomo	Congo	CG		-1.0	5905	1079
KNJ	-3.7333	14.2166	Kindamba	Kindamba	Congo	CG		-1.0	4593	1460
LKC	-2.3166	14.6	Lekana	Lekana	Congo	CG		-1.0	5905	1968
BKN	13.8	5.25	Birni Nkoni	Birni Nkoni	Niger	NE		-1.0	3773	879
MFQ	13.5	7.1333	Maradi	Maradi	Niger	NE		-1.0	6102	1240
RLT	18.7833	7.3666	Arlit	Arlit	Niger	NE		-1.0	7283	1404
ZND	13.7833	8.9833	Zinder	Zinder	Niger	NE		-1.0	5988	1509
AJY	16.9666	7.9833	Agades	Agades	Niger	NE		-1.0	7545	1657
NIM	13.4833	2.1666	Niamey	Niamey	Niger	NE		+1.0	9842	728
THZ	10.85	15.35	Tahoua	Tahoua	Niger	NE		+0.0		
BJM	-3.3166	29.3166	International	Bujumbura	Burundi	BI		-2.0	11810	2566
GID	-3.4166	29.9166	Gitega	Gitega	Burundi	BI		-2.0	3640	5741
KRE	-2.55	30.1	Kirundo	Kirundo	Burundi	BI		-2.0	1300	4511
BUQ	-20.0166	28.6333	Bulawayo	Bulawayo	Zimbabwe	ZW		-2.0	8471	4366
BZH	-17.4833	28.5166	Bumi Hills	Bumi Hills	Zimbabwe	ZW		+0.0		
WKI	-18.3666	26.4833	Hwange	Hwange	Zimbabwe	ZW		+0.0		
HRE	-17.9319	31.0927	Harare	Harare	Zimbabwe	ZW		+2.0	15500	4901
CHJ	-20.2	32.6333	Chipinge	Chipinge	Zimbabwe	ZW		-2.0	3600	3730
MJW	-21.1166	32.3833	Mahenye	Mahenye	Zimbabwe	ZW		+0.0		
GWE	-19.45	29.8166	Gweru	Gweru	Zimbabwe	ZW		-2.0	9000	4680
